Title,Genre,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
The Mummy,Adventure,0,0,0,0,335885488,335885488,335885488,335885488,335885488,335885488,335885488
The Haunting,Horror,0,0,0,0,11188905,11188905,11188905,11188905,11188905,11188905,11188905
Fantasia 2000,Animation,0,0,0,0,10874570,10874570,10874570,10874570,10874570,10874570,10874570
The Legend of Bagger Vance,Fantasy,0,0,0,0,0,-40540573,-40540573,-40540573,-40540573,-40540573,-40540573
Red Planet,Thriller,0,0,0,0,0,-46536031,-46536031,-46536031,-46536031,-46536031,-46536031
Thirteen Days,Drama,0,0,0,0,0,-45433254,-45433254,-45433254,-45433254,-45433254,-45433254
Evolution,Action,0,0,0,0,0,0,18376292,18376292,18376292,18376292,18376292
The Time Machine,Science Fiction,0,0,0,0,0,0,0,43729176,43729176,43729176,43729176
Spirit: Stallion of the Cimarron,Western,0,0,0,0,0,0,0,42563539,42563539,42563539,42563539
Lilo & Stitch,Animation,0,0,0,0,0,0,0,65771527,65771527,65771527,65771527
Road to Perdition,Thriller,0,0,0,0,0,0,0,101001478,101001478,101001478,101001478
Bruce Almighty,Fantasy,0,0,0,0,0,0,0,0,404572835,404572835,404572835
S.W.A.T.,Action,0,0,0,0,0,0,0,0,36643346,36643346,36643346
Looney Tunes: Back in Action,Animation,0,0,0,0,0,0,0,0,-11485156,-11485156,-11485156
Timeline,Action,0,0,0,0,0,0,0,0,-36064237,-36064237,-36064237
Something's Gotta Give,Drama,0,0,0,0,0,0,0,0,186728738,186728738,186728738
The Manchurian Candidate,Drama,0,0,0,0,0,0,0,0,0,16105964,16105964
Exorcist: The Beginning,Horror,0,0,0,0,0,0,0,0,0,-1999414,-1999414
A Sound of Thunder,Thriller,0,0,0,0,0,0,0,0,0,0,-74010360
Spanglish,Comedy,0,0,0,0,0,0,0,0,0,-24958633,-24958633
The Interpreter,Crime,0,0,0,0,0,0,0,0,0,0,82944923
Meet the Fockers,Comedy,0,0,0,0,0,0,0,0,0,436642939,436642939
The Great Raid,Action,0,0,0,0,0,0,0,0,0,0,-69833498
The Lord of the Rings: The Two Towers,Adventure,0,0,0,0,0,0,0,847287400,847287400,847287400,847287400
Cold Mountain,Drama,0,0,0,0,0,0,0,0,94013509,94013509,94013509
Red Dragon,Crime,0,0,0,0,0,0,0,131196298,131196298,131196298,131196298
Daredevil,Fantasy,0,0,0,0,0,0,0,0,101179718,101179718,101179718
The League of Extraordinary Gentlemen,Fantasy,0,0,0,0,0,0,0,0,101265204,101265204,101265204
The Adventures of Rocky & Bullwinkle,Action,0,0,0,0,0,-40865180,-40865180,-40865180,-40865180,-40865180,-40865180
2 Fast 2 Furious,Action,0,0,0,0,0,0,0,0,160350661,160350661,160350661
The Rock,Action,0,260062621,260062621,260062621,260062621,260062621,260062621,260062621,260062621,260062621,260062621
Independence Day,Action,0,741969268,741969268,741969268,741969268,741969268,741969268,741969268,741969268,741969268,741969268
Con Air,Action,0,0,149012234,149012234,149012234,149012234,149012234,149012234,149012234,149012234,149012234
Conspiracy Theory,Action,0,0,61982834,61982834,61982834,61982834,61982834,61982834,61982834,61982834,61982834
Sphere,Science Fiction,0,0,0,-61900000,-61900000,-61900000,-61900000,-61900000,-61900000,-61900000,-61900000
Deep Impact,Action,0,0,0,65464664,65464664,65464664,65464664,65464664,65464664,65464664,65464664
Practical Magic,Drama,0,0,0,-28316623,-28316623,-28316623,-28316623,-28316623,-28316623,-28316623,-28316623
Soldier,Action,0,0,0,-60432117,-60432117,-60432117,-60432117,-60432117,-60432117,-60432117,-60432117
Virus,Horror,0,0,0,0,-60989310,-60989310,-60989310,-60989310,-60989310,-60989310,-60989310
Forces of Nature,Romance,0,0,0,0,18888180,18888180,18888180,18888180,18888180,18888180,18888180
The Out-of-Towners,Comedy,0,0,0,0,-46000000,-46000000,-46000000,-46000000,-46000000,-46000000,-46000000
The Astronaut's Wife,Drama,0,0,0,0,-55401412,-55401412,-55401412,-55401412,-55401412,-55401412,-55401412
Three Kings,Action,0,0,0,0,33000000,33000000,33000000,33000000,33000000,33000000,33000000
Titan A.E.,Animation,0,0,0,0,0,-38245366,-38245366,-38245366,-38245366,-38245366,-38245366
X-Men,Adventure,0,0,0,0,0,221339527,221339527,221339527,221339527,221339527,221339527
Unbreakable,Science Fiction,0,0,0,0,0,173118121,173118121,173118121,173118121,173118121,173118121
Vertical Limit,Action,0,0,0,0,0,140663859,140663859,140663859,140663859,140663859,140663859
Monkeybone,Adventure,0,0,0,0,0,0,-69590483,-69590483,-69590483,-69590483,-69590483
