Country,Longitude,Latitude,World Bank region,Population (2019),Unnamed: 5,Unnamed: 6,Unnamed: 7,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Central African Republic,21.6407,5.63056,Sub-Saharan Africa,4745185.0,,,,,,,,,,,,,,,,,,,,,,
Suriname,-55.1679,5.8232,Latin America & the Caribbean,581363.0,,,,LATIN AMER. & CARIB   ,439117.0,163270.0,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,0.37,0.06,99.57,2.0,18.02,7.27,0.13,0.22,0.65
Togo,1.2255,6.1228,Sub-Saharan Africa,8082366.0,,,,SUB-SAHARAN AFRICA        ,5548702.0,56785.0,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,395.0,204.0,401.0
Liberia,-10.7957,6.30039,Sub-Saharan Africa,4937374.0,,,,SUB-SAHARAN AFRICA        ,3042004.0,111370.0,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,2.0,44.77,23.1,769.0,54.0,177.0
Benin,2.6323,6.4779,Sub-Saharan Africa,11801151.0,,,,SUB-SAHARAN AFRICA        ,7862944.0,112620.0,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,316.0,138.0,546.0
Guyana,-58.1548,6.80461,Latin America & the Caribbean,782766.0,,,,LATIN AMER. & CARIB   ,767245.0,214970.0,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,2.0,18.28,8.28,0.37,203.0,427.0
"Micronesia, Fed. Sts.",158.185,6.91771,East Asia and Pacific,113815.0,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,79.8528,6.92148,South Asia,21803000.0,,,,ASIA (EX. NEAR EAST),20222240.0,65610.0,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,2.0,15.51,6.52,178.0,276.0,545.0
Marshall Islands,171.135,7.11046,East Asia and Pacific,58791.0,,,,OCEANIA       ,60422.0,11854.0,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,2.0,33.05,4.78,317.0,149.0,534.0
Palau,134.479,7.34194,East Asia and Pacific,18008.0,,,,OCEANIA       ,20579.0,458.0,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2.0,18.03,6.8,62.0,0.12,818.0
Sierra Leone,-13.2134,8.4821,Sub-Saharan Africa,7813215.0,,,,SUB-SAHARAN AFRICA        ,6005250.0,71740.0,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,2.0,45.76,23.03,0.49,0.31,0.21
Panama,-79.5188,8.99427,Latin America & the Caribbean,4246439.0,,,,LATIN AMER. & CARIB   ,3191319.0,78200.0,40.8,3.18,-0.91,20.47,6300.0,92.6,137.9,7.36,1.98,90.66,2.0,21.74,5.36,68.0,156.0,776.0
Ethiopia,38.7468,9.02274,Sub-Saharan Africa,112078730.0,,,,SUB-SAHARAN AFRICA        ,74777981.0,1127127.0,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,2.0,37.98,14.86,475.0,99.0,426.0
Nigeria,7.48906,9.05804,Sub-Saharan Africa,200963599.0,,,,SUB-SAHARAN AFRICA        ,131859731.0,923768.0,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,269.0,487.0,244.0
"Venezuela, RB",-69.8371,9.08165,Latin America & the Caribbean,28515829.0,,,,,,,,,,,,,,,,,,,,,,
Guinea,-13.7,9.51667,Sub-Saharan Africa,12771246.0,,,,SUB-SAHARAN AFRICA        ,9690222.0,245857.0,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,237.0,362.0,401.0
Costa Rica,-84.0089,9.63701,Latin America & the Caribbean,5047561.0,,,,LATIN AMER. & CARIB   ,4075261.0,51100.0,79.8,2.52,0.51,9.95,9100.0,96.0,340.7,4.41,5.88,89.71,2.0,18.32,4.36,88.0,299.0,614.0
Trinidad and Tobago,-61.4789,10.6596,Latin America & the Caribbean,1394973.0,,,,,,,,,,,,,,,,,,,,,,
Cambodia,104.874,11.5556,East Asia and Pacific,16486542.0,,,,ASIA (EX. NEAR EAST),13881427.0,181040.0,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35
